Document Name,Document Path,Question
Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications.md,When will applications for Compute2 be available?
Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications.md,What is the difference between a RIS Developed Container and a Non-RIS Docker Image?
Applications.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Applications.md,How can I request a new application that is not on this list?
Compute Workshops.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops.md,Where can I find a schedule for upcoming workshops?
Compute Workshops.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops.md,How can I be notified when new workshops are announced?
Compute Workshops.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute Workshops.md,Are recordings or slides available for the previous workshops?
Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1.md,I need to install custom software. Should I use Docker or create a Conda environment?
Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1.md,Where can I find a basic example of how to submit a job?
Compute1.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute1.md,"How can I see what types of hardware (e.g., GPUs, high-memory nodes) are available?"
Compute2.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2.md,How do I submit a batch job instead of an interactive one?
Compute2.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2.md,What are the available partitions or queues and what are their resource limits?
Compute2.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Compute2.md,How can I install my own software or request a new application to be installed?
Docker.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker.md,Where do I start if I'm new to Docker?
Docker.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker.md,"How do I install packages for a language other than Python, like R or Java?"
Docker.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Docker.md,"I've built my Docker image, where can I run it?"
FAQ.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\FAQ.md,How much do RIS services cost and where can I find a price list?
FAQ.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\FAQ.md,I'm not sure where to store my files. What is the difference between my home directory and my storage allocation?
FAQ.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\FAQ.md,What is the best way to share data with a collaborator from another university?
Requesting RIS Services.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Requesting RIS Services.md,What is the difference between the Active and Archive storage tiers?
Requesting RIS Services.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Requesting RIS Services.md,How do I decide between 'Consumption' and 'Subscription' billing for data storage?
Requesting RIS Services.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Requesting RIS Services.md,"Which compute model (General, Subscription, or Consumption) is right for my project?"
Research Applications and Services.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services.md,How do I request access to one of the supported applications?
Research Applications and Services.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services.md,How can I access these services if I am working from off-campus?
Research Applications and Services.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\Research Applications and Services.md,Who should I contact if I need support for one of these applications?
RIS Services Policies.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\RIS Services Policies.md,What skills and software are required to use the Compute1 scientific compute platform?
RIS Services Policies.md,D:\dt-summer-corp\validation\RIS_docs\RIS User Documentation\RIS Services Policies.md,When should I use the general queue versus the general-interactive queue?
